character,phrase,count
Chandler,oh my god,44
Chandler,i don't know,38
Chandler,here we go,17
Chandler,you know what,15
Chandler,wait a minute,15
Chandler,i love you,13
Chandler,what are you doing,11
Chandler,i'm so sorry,10
Chandler,what's going on,10
Chandler,by the way,10
Joey,i don't know,62
Joey,oh my god,35
Joey,check it out,29
Joey,wait a minute,17
Joey,what are you doing,14
Joey,how you doin',11
Joey,you know what,11
Joey,come on man,11
Joey,what's going on,11
Joey,there i am,10
Monica,oh my god,153
Monica,i don't know,35
Monica,what are you doing,27
Monica,wait a minute,27
Monica,you know what,25
Monica,i love you,21
Monica,what are you talking about,17
Monica,i'll get it,17
Monica,are you okay,16
Monica,what is it,15
Phoebe,oh my god,117
Phoebe,i don't know,47
Phoebe,you know what,19
Phoebe,what is that,10
Phoebe,what's going on,10
Rachel,oh my god,163
Rachel,i don't know,75
Rachel,you know what,52
Rachel,wait a minute,36
Rachel,) oh my god,17
Rachel,i'm so sorry,16
Rachel,i love you,16
Rachel,what are you doing,13
Rachel,look at that,12
Rachel,what are you talking about,12
Ross,oh my god,76
Ross,i don't know,58
Ross,you know what,38
Ross,wait a minute,26
Ross,what's going on,19
Ross,here we go,16
Ross,what are you doing,14
Ross,i love you,12
Ross,what do you mean,11
Ross,i can't believe this,11
