season,mentions_zscore,repliques_zscore,average_zscore,character
S01,0.17906448465776723,2.294734257614436,1.2368993711361016,monica
S02,0.679819423016363,0.08258111325970365,0.3812002681380333,monica
S03,-0.26615944272278064,-0.3480137375790077,-0.3070865901508942,monica
S04,-0.2917806524027833,-0.9351591216778989,-0.6134698870403411,monica
S05,0.34609586698789097,0.3854349208808302,0.3657653939343606,monica
S06,-0.3703153996602652,-0.2243447692528135,-0.29733008445653936,monica
S07,2.389709053078404,0.3112860667137413,1.3504975598960727,monica
S08,-1.7040511252270256,-1.164175032086655,-1.4341130786568403,monica
S09,-0.39372834791151423,0.79875452391936,0.20251308800392287,monica
S10,-0.5686538598160599,-1.2010982217917028,-0.8848760408038814,monica
S01,-0.8039307602102683,-2.3213922786964494,-1.5626615194533588,joey
S02,0.31100243855614573,-0.3659852908707732,-0.02749142615731373,joey
S03,-2.0136272043241967,-1.184667444272615,-1.5991473242984058,joey
S04,0.21562003127746787,0.35897658235884045,0.28729830681815416,joey
S05,0.03979345931434579,0.9752710576004836,0.5075322584574147,joey
S06,-1.1786002705186267,0.16041078051097468,-0.509094745003826,joey
S07,1.2628364164071546,0.9462081335489148,1.1045222749780348,joey
S08,0.5863113056039775,0.9841818930585015,0.7852465993312394,joey
S09,1.3276276382172814,0.17778469235442534,0.7527061652858533,joey
S10,0.25296694567672545,0.26921187440768346,0.26108941004220443,joey
S01,-0.9984343304006255,0.34578949684182947,-0.326322416779398,chandler
S02,0.5301348135219986,0.0697453285170197,0.29994007101950915,chandler
S03,-0.13895639906508175,-0.5125814730475827,-0.3257689360563322,chandler
S04,0.4686551168068836,1.1737161518162826,0.8211856343115831,chandler
S05,0.1838128501931156,0.605562969299116,0.3946879097461158,chandler
S06,1.2916174819298305,1.3230000381359388,1.3073087600328845,chandler
S07,1.4493066726069976,-0.5703085721938551,0.43949905020657126,chandler
S08,-1.6379311854279002,-2.261460909840829,-1.9496960476343645,chandler
S09,-1.3922042155170409,0.4893232592035014,-0.45144047815676974,chandler
S10,0.2439991953518224,-0.6627862887314244,-0.209393546689801,chandler
S01,-1.2715839168909737,-1.6940019143632836,-1.4827929156271287,phoebe
S02,-1.9253609113126038,-1.3659858582022864,-1.645673384757445,phoebe
S03,-0.25599147086383334,0.7943249106537975,0.2691667198949821,phoebe
S04,0.3499385710001258,-0.9053734305885249,-0.27771742979419956,phoebe
S05,0.47237665019258407,0.8424765457192422,0.6574265979559132,phoebe
S06,-0.10619085355623788,-0.5073120907562781,-0.30675147215625803,phoebe
S07,1.7639473401870234,0.38991522306753734,1.0769312816272802,phoebe
S08,0.2691002065011563,0.22108586852534762,0.24509303751325195,phoebe
S09,0.9930091591770505,0.8202736123082897,0.9066413857426701,phoebe
S10,-0.289244774434302,1.4045971336361394,0.5576761796009186,phoebe
S01,0.6918786319802976,0.9368489385766026,0.8143637852784501,ross
S02,-0.4742138817005467,1.5063746523320827,0.516080385315768,ross
S03,1.2705549630677029,1.2187274042021023,1.2446411836349025,ross
S04,0.24040540645308736,-0.7783600250417475,-0.26897730929433006,ross
S05,0.23720130993069488,-0.9815142103440208,-0.37215645020666294,ross
S06,0.06697501520002971,-0.8537288916917771,-0.3933769382458737,ross
S07,-2.6324602294998014,-1.4301379396193281,-2.031299084559565,ross
S08,0.7701436534200053,0.3243400106402464,0.5472418320301259,ross
S09,0.028927862138055756,-0.6486390775053948,-0.30985560768366954,ross
S10,-0.19941273098953774,0.7060891384512344,0.25333820373084837,ross
S01,1.0664750976311987,-0.17471744406414816,0.4458788267835253,rachel
S02,0.07249744482864447,-1.2937379480128781,-0.6106202515921169,rachel
S03,0.693686936759266,-0.3076440982538632,0.1930214192527014,rachel
S04,-0.7225793728536217,0.4410989247302071,-0.1407402240617073,rachel
S05,-0.9865337343267429,-0.8786924906435355,-0.9326131124851391,rachel
S06,0.27059062119333366,-0.10082602073897362,0.08488230022718002,rachel
S07,-2.1542099307758993,1.5556467332445743,-0.2992815987656625,rachel
S08,1.3887887266051493,2.001160179741161,1.6949744531731552,rachel
S09,-0.10530792583686152,-0.7392922296164247,-0.42230007772664313,rachel
S10,0.47659213677553613,-0.5029956063861086,-0.013201734805286247,rachel
